BLQ-st,Project Name,Address,BLQ - Ward,Legistar File ID,Agenda Number
1882-23,370 Orange St. LLC,141 1ST ST,Central,15-2143,6S&Fa(as) 110515
2688-48,,686-688 BERGEN ST,South,20-0619,7R2 -c (s) 101420
436-13,281 Passaic Street Urban Renewal,281-289 PASSAIC ST,CENTRAL,17-1666,7R2-A (as amended)
266-22,"Stone West Development, LLC",412 S 11TH ST,West,19-1671,7R2-a (as) 012220
2631-55,Spikenard Foundation A NJ Nonprofit Corporation,747 S 11TH ST,South,21-0551,7R2-a (s) 011122
4120-21,"Lilac Development Group, LLC",545 SANDFORD AVE,West,21-1589,7R2-a (s) 012522
3091-13,Excelsior Property Group,101 FABYAN PL,South,19-0751,7R2-a (s) 021120
2711-58,"Wiosna, LLC",274 CHADWICK AVE,South,19-1706,7R2-A (S) 031020
357-41,"JD Restoration, LLC",678 S 18TH ST,South,21-0778,7R2-a (s) 041222
307.01-97,"BABS Engineeringing, P.C.",548 S 10TH ST,CENTRAL,20-0591,7R2-a (s) 051121
3586-20,"Sting 1, LLC",904 BERGEN ST,SOUTH,22-1190,7R2-a (s) 062723
1798-6,Cesar M. Angel and Crisostomo,200 12TH AVE,West,17-1386,7R2-a (s) 070219
2660-42,,592 BERGEN ST,South,20-0269,7R2-a (s) 072021
2639-22,"Xclusive Investments 1, LLC",493- AVON AVE,South,20-0063,7R2-a (s) 081120
2694-30,,163 W BIGELOW ST,SOUTH,20-0560,7R2-a (s) 081921
3715-9,"Tactical Development Group, LLC",256-262 LYONS AVE,South,20-0289,7R2-a (s) 09222
4131.01-30,,275 ELLERY AVE,West,20-0039,7R2-a (s) 101420
1861-5,,104- 9TH AVE,WEST,21-1576,7R2-a (s) 112222
2801-5,Southward Properties LLC,36 ELIZABETH AVE,South,20-1140,7R2-a (s) 122121
2482-13,Omega Living LLC,26 CORTLAND ST,East,19-0854,7R2-a (s) 122319
2693-37,Beacher Development LLC,140 RIDGEWOOD AVE,South,16-1299,7R2-a 010517
2828-1,"Mission Realestate Projects, LLC",110 JAMES ST,CENTRAL,19-1812,7R2-a 010621
4137-15,Devramalena LLC,20-28 MARSAC PL REAR,WEST,17-1447,7R2A 011018
3079-61,"Level 6ix, LLC and Tritop Realty, LLC ",51-55 CYPRESS ST,SOUTH,22-0898,7R2-a 011823
282-44,"204-210 Properties, LLC",208 14TH AVE,CENTRAL,21-1007,7R2-a 012022
282-5,"New Age Investment Properties, LLC",377 S 9TH ST,Central,17-1605,7R2A 012418
1180-37,"240 Wright Street, Newark, LLC",240 WRIGHT ST,East,20-0590,7R2-a 020321
1169-59,"6-10 Avenue B Newark, LLC",6-10 AVENUE B,East,20-0589,7R2-a 021821
255-10,"271 Hunterdon Street, LLC",273 HUNTERDON ST,CENTRAL,19-1686,7R2-A 030420
2811-9,All Renovation Construction,35 MURRAY ST,EAST,16-1985,7R2-a 031517
625-91,"Arlington Real Estate Partnership, LLC",55 ARLINGTON AVE,NORTH,22-0918,7R2-a 031523
1794-27,"Valley Carpentry and Painting, LLC",543 13TH AVE,West,21-0592,7R2-a 031622
3590-33,"MA Legacy Group, LLC",827-829 BERGEN ST,SOUTH,20-1094,7R2-a 031721
827-1,"Sherman Avenue Development, LLC",2104-2118 MCCARTER HWY,North,19-0980,7R2-a 032420
115-15,ATS Development Group,449 WASHINGTON ST,Central,16-1986,7R2-a 040517
316-32,Option One,646 S 13TH ST,South,16-1914,7R2-a 041917
3053.02-19,"Square, LLC",146 DEWEY ST,SOUTH,22-1505,7R2-a 041923
1867-63,Stonerock Builders,31- S 12TH ST,West,17-1743,7R2-a 042418
2801-45,Leyo Alava,185- BRUNSWICK ST,South,19-1214,7R2-a 050620
884-24,AC & J Restoration,23 SCOTT ST,Central,17-1634,7R2-a 052318
1928-47,"Ray's Construction, LLC",81-83 N 9TH ST,CENTRAL,21-1056,7R2-a 060222
4003-27,Gateway Property Development LLC,85 WHITNEY STREET,West,19-1298,7R2-a 061020
4177-15,,71-75 DOVER ST,West,20-0058,7R2-a 062420
4070-8,"J&A Real Estate Development, LLC",160-162 BROOKDALE AVE,West,20-0563,7R2-a 070821
3717-51,"A Brick At A Time, LLC ",421-423 CLINTON PL,South,20-0060,7R2-a 072220
2858-45,"NY Construction Services, LLC",72-76 BOYDEN ST,Central,20-1131,7R2-a 080421
